dataset_id,category,finding,supporting_evidence,alternative_explanation,unverified_condition,evidence_level
FT2,model_item,0 channel-segments retain one residual direction across at least 9/12 candidates,V2 scalar rows plus V3 12-candidate ensemble,fixed-input compensation or unresolved experimental processing,alternative physical model not yet compared,conditional
FT2,background_item,low-potential DC residual is candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,kinetic onset or current normalization,background and preprocessing records deferred,diagnostic
FT2,metadata_item,experimental preprocessing and independent constraints deferred,V2 scalar rows plus V3 12-candidate ensemble,none evaluated in V3,requires restored experimental records,deferred
FT2,parameter_compensation,4 stable fixed-parameter directions lower the aggregate score,V2 scalar rows plus V3 12-candidate ensemble,correlated parameters may produce the same direction,stress rows are local paired diagnostics,conditional
FT2,unexplained,0 channel-segments remain candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,denser sampling or a different model may change the pattern,no causal assignment from residuals alone,unresolved
FT3,model_item,0 channel-segments retain one residual direction across at least 9/12 candidates,V2 scalar rows plus V3 12-candidate ensemble,fixed-input compensation or unresolved experimental processing,alternative physical model not yet compared,conditional
FT3,background_item,low-potential DC residual is candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,kinetic onset or current normalization,background and preprocessing records deferred,diagnostic
FT3,metadata_item,experimental preprocessing and independent constraints deferred,V2 scalar rows plus V3 12-candidate ensemble,none evaluated in V3,requires restored experimental records,deferred
FT3,parameter_compensation,1 stable fixed-parameter directions lower the aggregate score,V2 scalar rows plus V3 12-candidate ensemble,correlated parameters may produce the same direction,stress rows are local paired diagnostics,conditional
FT3,unexplained,0 channel-segments remain candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,denser sampling or a different model may change the pattern,no causal assignment from residuals alone,unresolved
FT4,model_item,0 channel-segments retain one residual direction across at least 9/12 candidates,V2 scalar rows plus V3 12-candidate ensemble,fixed-input compensation or unresolved experimental processing,alternative physical model not yet compared,conditional
FT4,background_item,low-potential DC residual is candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,kinetic onset or current normalization,background and preprocessing records deferred,diagnostic
FT4,metadata_item,experimental preprocessing and independent constraints deferred,V2 scalar rows plus V3 12-candidate ensemble,none evaluated in V3,requires restored experimental records,deferred
FT4,parameter_compensation,3 stable fixed-parameter directions lower the aggregate score,V2 scalar rows plus V3 12-candidate ensemble,correlated parameters may produce the same direction,stress rows are local paired diagnostics,conditional
FT4,unexplained,0 channel-segments remain candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,denser sampling or a different model may change the pattern,no causal assignment from residuals alone,unresolved
FT8,model_item,0 channel-segments retain one residual direction across at least 9/12 candidates,V2 scalar rows plus V3 12-candidate ensemble,fixed-input compensation or unresolved experimental processing,alternative physical model not yet compared,conditional
FT8,background_item,low-potential DC residual is candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,kinetic onset or current normalization,background and preprocessing records deferred,diagnostic
FT8,metadata_item,experimental preprocessing and independent constraints deferred,V2 scalar rows plus V3 12-candidate ensemble,none evaluated in V3,requires restored experimental records,deferred
FT8,parameter_compensation,3 stable fixed-parameter directions lower the aggregate score,V2 scalar rows plus V3 12-candidate ensemble,correlated parameters may produce the same direction,stress rows are local paired diagnostics,conditional
FT8,unexplained,0 channel-segments remain candidate-dependent,V2 scalar rows plus V3 12-candidate ensemble,denser sampling or a different model may change the pattern,no causal assignment from residuals alone,unresolved
